,corpusID,character,animacy,coref_chain,chain_head,head_of_head,chain_len,CL,SS,NER,WN,DP,TP,CN,TF,YK_SC
0,Novel1,1,1,"[' Barold ', ' He ', ' him ', "" Barold 's "", ' Barold ', ' his ', ' He ', ' his ', ' he ', ' he ', ' he ', ' he ', ' his ', ' me ', ' Barold ', ' his ', ' Mr. Barold ', ' Mr. Francis Barold ', ' he ', ' he ', ' his ', ' his ', ' he ', ' he ', ' I ', ' him ', ' that fool Barold ', ' Mr. Francis Barold ']", Barold ,Barold,28,2.8374507228727706,0.0,1.0,0.0,1.0,1.0,0.0,0.0036215482118605704,100.0
1,Novel1,1,1,"[' Lucia ', ' Lucia ', ' Lucia ', ' Lucia , who had been looking steadily out of the carriage-window ', ' Lucia ', ' Lucia ', "" Lucia 's "", ' Lucia ', ' I ', ' I ', ' myself ', ' I ', ' I ', ' Lucia ', ' I ', ' I ', ' Lucia ']", Lucia ,Lucia,17,1.4871315380446126,1.0,1.0,0.0,1.0,1.0,0.0,0.004074241738343142,100.0
2,Novel1,1,1,"[' Octavia ', ' Octavia ', ' I ', ' Octavia ', ' I ', ' Miss Octavia Bassett ', ' you ', ' Octavia ', ' you ', ' Octavia , which Miss Belinda thought rather inconsistent ', ' Octavia ', ' Octavia ', ' Octavia ', ' she ', ' she ', ' Octavia ', ' Octavia ', ' Her ', ' she ', ' her ', ' her ', ' Octavia herself ', ' herself ', ' her ']", Octavia ,Octavia,24,2.3464255647534404,1.0,1.0,0.0,1.0,1.0,0.0,0.006337709370755998,100.0
3,Novel1,1,1,"["" Lady Theobald 's "", ' furious Lady Theobald ', ' Lady Theobald ', ' herself ', ' her ', ' Lady Theobald ', ' her ', ' She ', ' herself ', ' I ', ' she ', ' I ']", Lady Theobald 's ,'s,12,0.87335009039545,0.0,0.0,0.0,0.0,0.0,0.0,0.008601177003168854,100.0
4,Novel1,1,1,"[' Octavia and Lord Lansdowne ', ' Lord Lansdowne ', ' him ', ' he ', ' I ', ' you ', ' his ', ' he ', ' he ', ' Lord Lansdowne ', ' Lord Lansdowne ', ' him ', ' he ', ' he ', ' he ', ' Lord Lansdowne ']", Octavia and Lord Lansdowne ,Lansdowne,16,1.36437524851478,0.0,1.0,0.0,1.0,0.0,0.0,0.002716161158895428,100.0
5,Novel1,0,0,"["" Lady Theobald 's errand ""]", Lady Theobald 's errand ,errand,1,-0.4769690944327082,0.0,0.0,0.0,1.0,0.0,0.0,0.0004526935264825713,100.0
6,Novel1,0,0,[' some time Octavia '], some time Octavia ,Octavia,1,-0.4769690944327082,1.0,1.0,0.0,1.0,1.0,0.0,0.006337709370755998,100.0
7,Novel1,0,0,"["" Barold 's eyes fixed upon her "", ' her eyes ', ' her eyes ', ' Her eyes ', ' eyes on him ']", Barold 's eyes fixed upon her ,her,5,0.01405606368662203,1.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
8,Novel1,0,1,"[' you ', ' she ']", you ,you,2,-0.35421280490287566,1.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
9,Novel1,0,1,"[' you ', ' you ', ' she ', ' She ', ' she ', ' I ', ' I ', ' She ', ' her ', ' her ', ' her ', ' her ', ' her ', ' her ', ' her ', ' she ', ' you ', ' she ', ' I ', ' I ', ' I ', ' I ', ' she ', ' I ', ' she ', ' I ', ' I ', ' I ', ' I ', ' I ', ' I ', ' you ', ' she ', ' me ', ' She ', ' I ', ' myself ', ' I ', ' I ', ' I ', ' Her ', ' her ', ' you so fond of your father as ', ' She ', ' she ', ' I ', ' I ', ' my ', ' she ', ' her ', ' she ', ' I ', ' her ', ' her ', ' her ', ' I ', ' she ', ' I ', ' she ', ' her ', ' her ', ' her ', ' she ', ' I ', ' me ', ' you ', ' you ', ' she ', ' I ']", you ,you,69,7.870458593595907,1.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
10,Novel1,0,1,"[' you ', ' they ', ' they ', ' them ', ' they ', ' they ']", you ,you,6,0.1368123532164546,1.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
11,Novel1,0,0,[' Burmistone '], Burmistone ,Burmistone,1,-0.4769690944327082,1.0,1.0,0.0,1.0,0.0,0.0,0.0022634676324128564,100.0
12,Novel1,0,0,"[' a moment ', ' a moment ', ' it ', ' a moment ']", a moment ,moment,4,-0.10870022584321053,1.0,0.0,0.0,1.0,1.0,0.0,0.0018107741059302852,100.0
13,Novel1,0,1,"[' Mr. Burmistone , Lucia , and Miss Belinda ']"," Mr. Burmistone , Lucia , and Miss Belinda ",Belinda,1,-0.4769690944327082,1.0,1.0,0.0,1.0,0.0,0.0,0.006337709370755998,100.0
14,Novel1,1,1,"[' Mr. Burmistone ', ' Mr. Burmistone ', ' myself ', ' me ', ' Mr. Burmistone ', ' Mr. Burmistone ']", Mr. Burmistone ,Burmistone,6,0.1368123532164546,1.0,1.0,0.0,1.0,0.0,0.0,0.0022634676324128564,100.0
15,Novel1,0,0,"[' the pleasure of surrendering his charge , and watching her ']"," the pleasure of surrendering his charge , and watching her ",her,1,-0.4769690944327082,1.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
16,Novel1,0,0,[' the matter with Mr. Barold '], the matter with Mr. Barold ,Barold,1,-0.4769690944327082,0.0,1.0,0.0,1.0,1.0,0.0,0.0036215482118605704,100.0
17,Novel1,1,1,"[' Miss Pilcher ', ' him ', ' He ', ' I ', ' Miss Pilcher ']", Miss Pilcher ,Pilcher,5,0.01405606368662203,1.0,0.0,0.0,1.0,1.0,0.0,0.001358080579447714,100.0
18,Novel1,1,1,"[' Octavia Bassett ', ' approach Octavia Bassett ', ' she ', ' her ', ' Octavia Bassett ']", Octavia Bassett ,Bassett,5,0.01405606368662203,0.0,1.0,0.0,1.0,0.0,0.0,0.002716161158895428,100.0
19,Novel1,0,0,"["" one of the arbors , '' put in Miss Lydia Burnham ""]"," one of the arbors , '' put in Miss Lydia Burnham ",Burnham,1,-0.4769690944327082,0.0,1.0,1.0,0.0,0.0,0.0,0.001358080579447714,100.0
20,Novel1,1,1,"[' Miss Lydia Burnham ', ' Lydia ', ' Mrs. Burnham ', ' Burnham ', ' she ', ' Mrs. Burnham ', ' her ', ' she ']", Miss Lydia Burnham ,Burnham,8,0.3823249322761197,0.0,1.0,1.0,0.0,0.0,0.0,0.001358080579447714,100.0
21,Novel1,0,1,[' Emily '], Emily ,Emily,1,-0.4769690944327082,1.0,1.0,0.0,0.0,0.0,0.0,0.0004526935264825713,100.0
22,Novel1,0,1,"[' Emily and I ', ' them ', ' they ', ' they ']", Emily and I ,I,4,-0.10870022584321053,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
23,Novel1,0,1,[' us '], us ,us,1,-0.4769690944327082,1.0,0.0,0.0,1.0,1.0,0.0,0.0018107741059302852,100.0
24,Novel1,0,1,[' us '], us ,us,1,-0.4769690944327082,1.0,0.0,0.0,1.0,1.0,0.0,0.0018107741059302852,100.0
25,Novel1,0,0,"[' the next moment ', ' it ', ' It ', ' it ', ' it ']", the next moment ,moment,5,0.01405606368662203,1.0,0.0,0.0,1.0,1.0,0.0,0.0018107741059302852,100.0
26,Novel1,0,1,"[' you ', ' she suggested ']", you ,you,2,-0.35421280490287566,1.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
27,Novel1,0,1,"[' you ', ' you ', ' him ']", you ,you,3,-0.2314565153730431,1.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
28,Novel1,0,0,[' a slight smile '], a slight smile ,smile,1,-0.4769690944327082,1.0,0.0,0.0,0.0,0.0,0.0,0.0004526935264825713,100.0
29,Novel1,0,1,"[' we ', ' we ', ' us ']", we ,we,3,-0.2314565153730431,1.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
