,corpusID,character,animacy,coref_chain,chain_head,head_of_head,chain_len,CL,CN,Dep,NER,SS,Triple,WN,TF,YK_SC
0,story1,1,1,"[' dragon ', ' he ', ' he ', ' the dragon ', ' He ', ' his ', ' he ', ' he ', ' he ', ' dragon ', ' the dragon ', ' the dragon ', ' him ', ' he ', ' he ', ' he ', ' the wicked dragon ', ' the dragon ', ' the dragon ', ' the dragon ', ' him ', ' dragon ', ' the dragon ', ' himself ', ' your ', ' you ', ' The dragon ', ' he ', ' him ', ' him ', ' the dragon ', ' me ', ' I ', ' I ', ' the dragon ', ' the dragon ', ' he ', ' the dragon ', ' you ', ' your ', ' The dragon ', ' him ', ' him ']", dragon ,dragon,43,2.4995396176662785,1.0,1.0,0.0,1.0,1.0,0.0,0.04,0.015363241250880911
1,story1,1,1,"[' princess ', "" the tsar 's daughter "", ' her ', ' her ', ' her ', ' she ', ' a beauty ', ' her ', ' the princess ', ' The princess ', ' her ', ' The princess ', ' her ', ' She ', ' her ', ' their daughter ', ' her ', ' The princess ', ' the princess ', ' she ', ' her ', ' her ', ' the princess ']", princess ,princess,23,0.9907631884914624,1.0,1.0,0.0,1.0,0.0,1.0,0.01411764705882353,0.06303756054545019
2,story1,1,1,"[' tsar ', ' tsar ', ' father ', ' tsar ', ' her father ', ' the tsar ', ' his ', ' the tsar ', ' tsar ']", tsar ,tsar,9,-0.06538031193090872,1.0,1.0,0.0,1.0,1.0,1.0,0.011764705882352941,0.08867526705576372
3,story1,0,1,"["" princess' dog "", "" a little dog that had followed her to the dragon 's lair "", ' dog ', ' the dog ']", princess' dog ,dog,4,-0.4425744192246127,1.0,1.0,0.0,1.0,1.0,0.0,0.007058823529411765,0.1735273870392261
4,story1,1,1,"[' tsarina ', ' mother ', ' tsarina ', ' tsarina ']", tsarina ,tsarina,4,-0.4425744192246127,1.0,1.0,0.0,1.0,0.0,1.0,0.004705882352941176,0.3222295362153641
5,story1,0,1,"[' who is stronger ', ' who in this world was stronger than the dragon ']", who is stronger ,stronger,2,-0.5934520621420943,0.0,0.0,0.0,0.0,0.0,0.0,0.007058823529411765,0.17993149083444063
6,story1,0,1,"["" dragon's statement "", ' a tanner in the city of Kiev was stronger than he ', ' this ']", dragon's statement ,statement,3,-0.5180132406833535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7,story1,1,1,"[' Nikita ', ' a tanner in the city of Kiev ', ' Nikita the Tanner ', ' him ', ' Nikita the Tanner ', ' Nikita ', ' his ', ' he ', ' him ', ' he ', ' his ', ' he ', ' him ', ' he ', ' him ', ' him ', ' Nikita ', ' him ', ' Nikita himself ', ' he ', ' He ', ' himself ', ' him ', ' Nikita ', ' Nikita ', ' I ', ' he ', ' Nikita ', ' he ', ' Nikita ', ' Nikita the Tanner ', ' you ', ' you ', ' Nikita ', ' He ', ' Nikita ', ' Nikita ', ' Nikita ', ' his ']", Nikita ,Nikita,39,2.1977843318313153,0.0,1.0,1.0,1.0,0.0,0.0,0.03294117647058824,0.015500634550938608
8,story1,0,1,"["" tsar's coming "", ' the tsar went in person to beg Nikita the Tanner to free his land from the wicked dragon and rescue the princess ', ' the tsar in person had come to see him ']", tsar's coming ,coming,3,-0.5180132406833535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
9,story1,0,1,"[' his hands ', ' his hands ', ' his hands ']", his hands ,hands,3,-0.5180132406833535,0.0,1.0,0.0,1.0,0.0,0.0,0.004705882352941176,0.3337192839344864
